N,Código,Tipo de muestra,x,y,Zona,Hoja,Nombre del proyecto,Año del proyecto ,N° Boletín,Serie,Año de Publicación,Región,Reporte,Laboratorio,Análisis,Geología,Au_g/Tm,Hg_ppb,Ag _ppm,Ba_ppm,Co_ppm,Cr_ppm,Cu_ppm,La _ppm,Li_ppm,Ni_ppm,Pb_ppm,Sc_ppm,Rb_ppm,Sr_ppm,V_ppm,Zn_ppm,As_ppm,Bi_ppm,Cd_ppm,Mo_ppm,Sb_ppm,Tl_2_ppm,W_2_ppm,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Na_pct,P_pct,Si_pct,Ti_pct,Y_ppm,Zr_ppm,Be_ppm,Ce_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,In_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Sm_ppm,Ta_ppm,Tb_ppm,Th_ppm,Tm_ppm,U_ppm,W_1_ppm,Yb_ppm
313,24n-RGQ24-022,Rocas,525770,8719672,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Veta de cuarzo blanco masivo con oquedades (boxwork) rellenadas de cuarzo hialino tipo diente de perro con goethita-jarosita (N245° / 80° SE y ancho de 0.90 m). La roca caja es un dique andesítico fuertemente cloritizado y cizallado, que se emplaza en el sienogranito silicificado.",<0.027,<10,<0.5,937,2,9,3,10,8,<5,11,<5,105,42,14,16,<5,<10,<1,<2,<2,<0.5,<5,4.64,0.08,0.84,2.43,0.19,0.02,0.78,0.04,38.43,0.14,<5,87,1.7,28.3,0.61,1.5,0.7,0.4,13.8,1.7,2.2,0.2,<0.2,<0.15,5.4,10.8,3,2,<0.5,0.3,7.9,<0.1,3.5,1,0.5
314,24n-RGQ24-022a,Rocas,525707,8719701,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Sienogranito color gris rojizo de tonalidad mesócrata y textura fanerítica inequigranular con fenocristales de feldespatos y plagioclasas subhedrales con ojos de cuarzo hialino anhedral, biotitas y anfíboles anhedrales. Las fracturas contienen óxidos (N210° / 75°NW).",na,na,<0.5,176,3,7,12,5,5,<5,39,<5,396,58,<10,19,<5,<10,<1,<2,<2,1.6,<5,7.79,0.12,0.45,3.71,0.13,0.01,3.18,0.02,34.11,0.02,43,54,9.6,77.3,0.51,5.4,4.3,0.5,41.3,2.8,5.1,1.2,<0.2,1.06,11.6,7.7,1.9,2.3,9.1,0.7,21.5,0.8,5.4,<1,6.7
315,24n-RGQ24-023,Rocas,525791,8719673,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo blanco masivo con parches de hematita y pirita fina anhedral. Azimut N345° / Buzamiento 75°NE y ancho de 0.10 m.,1.116,26,4.7,259,32,4,323,8,7,<5,216,<5,37,15,<10,34417,8,<10,411,<2,<2,<0.5,<5,1.91,0.05,1.78,0.89,0.17,0.01,0.13,0.02,40.91,0.03,<5,50,0.8,13.8,0.17,1.1,0.5,0.3,8.2,1.1,1.4,0.2,41.8,<0.15,0.9,6.7,1.8,1.4,<0.5,0.2,2,<0.1,2,<1,0.3
316,24n-RGQ24-024,Rocas,525919,8719562,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Sienogranito color gris rojizo  tonalidad mesocrata txt fanerítica Inequigranular con fenocristales de felds y palg subhedrales con ojos de qz hialino, bio yanf anhedrales.",<0.027,<10,<0.5,2764,9,12,10,39,24,9,12,6,218,395,35,60,<5,<10,<1,<2,<2,1.1,<5,7.38,0.43,2.57,4.67,0.93,0.04,1.36,0.09,32.01,0.38,35,417,2.4,84.2,0.65,6.9,3.7,2.1,19.8,6.9,10.8,1.2,<0.2,0.42,11.9,39.5,10.3,7.9,0.7,1.1,1,0.5,0.9,<1,3
317,24n-RGQ24-025,Rocas,525918,8719548,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Sienogranito color gris rojizo  tonalidad mesocrata txt fanerítica Inequigranular con fenocristales de felds y palg subhedrales con ojos de qz hialino, bio yanf anhedrales. Frc tap oxds.",<0.027,<10,<0.5,472,2,6,7,16,9,<5,23,<5,197,65,<10,29,<5,<10,<1,<2,<2,0.5,<5,7.16,0.14,1.18,3.84,0.27,0.02,2.15,0.03,34.38,0.16,29,300,3.3,110,0.31,5.8,3.5,0.8,20.2,4.9,9,1.1,<0.2,0.41,9.2,31.6,9.4,6,0.5,0.9,37.8,0.5,3,<1,3
318,24n-RGQ24-026,Rocas,524544,8717367,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Sienogranito color gris rojizo  tonalidad mesocrata txt fanerítica equigranular txt band cizallada alt silicificación fuerte  fract goe jar,<0.027,<10,<0.5,1020,4,4,5,128,10,<5,26,<5,219,210,20,44,<5,<10,<1,<2,<2,0.8,<5,7.85,0.59,1.54,4.95,0.29,0.02,1.83,0.05,32.68,0.21,12,325,0.9,295.6,0.23,3.5,1.2,1.9,19.2,8.6,10,0.5,<0.2,<0.15,7.1,109.3,35.4,14.7,<0.5,0.9,67.6,0.1,1,<1,0.8
319,24n-RGQ24-026a,Rocas,524136,8717020,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Filitas gris verdosa txt protolito sienogranito alt sericitización fuerte cloritización moderada frac tap goe Az N150°/45°NE.,<0.027,<10,<0.5,288,51,111,52,20,22,44,<5,25,61,263,172,121,<5,<10,<1,<2,<2,<0.5,<5,9.18,5.43,8.47,1.13,4.4,0.13,2.06,0.11,22.67,0.86,32,124,1.3,47.8,1.76,6.1,3.4,1.5,20.9,5.6,3,1.1,<0.2,0.43,5.5,25.7,6.6,5.8,<0.5,0.9,3.4,0.4,0.7,<1,2.8
320,24n-RGQ24-030,Rocas,524625,8718117,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Sienogranito color gris rojizo  tonalidad mesocrata txt fanerítica granular foliada con plag felds y qz con ferromagnesianos anhedrales. fract goe jar N20°/60°NW ,<0.027,<10,<0.5,514,7,10,9,36,22,6,20,8,170,105,32,70,<5,<10,<1,<2,<2,<0.5,<5,7.07,0.34,2.62,3.04,0.85,0.04,2.18,0.04,32.77,0.5,17,711,2.1,69.6,0.54,3.5,2.2,1.4,21.9,3.6,19.5,0.7,<0.2,0.38,24.7,24.8,7.4,4.4,1.3,0.5,7.2,0.3,3.2,<1,2.4
321,24n-RGQ24-031,Rocas,524635,8718139,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Metamonzogranito color gris balnquecino tonalidad mesócrata y textura fanerítica granular foliada, con plagioclasas, feldespatos y cuarzo con ferromagnesianos anhedrales. Las fracturas contienen goethita y jarosita (N20° / 60°NW).",<0.027,<10,<0.5,908,8,10,12,40,25,6,17,5,190,153,30,68,<5,<10,<1,<2,<2,<0.5,<5,8.38,0.7,3.6,3.14,1.2,0.02,2.37,0.09,30.87,0.36,31,518,2,193.7,0.47,6.7,2.9,1.7,22.9,9.6,13.3,1.1,<0.2,0.29,8.5,79.3,22.8,12.9,<0.5,1.3,32.4,0.3,1.6,<1,2.2
322,24n-RGQ24-032,Rocas,524702,8718237,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Veta de cuarzo blanco masivo con boxwork tapizadas con goethita-jarosita-hemathita (N230° / 50°SW y ancho de 0.15 m).,<0.027,<10,<0.5,143,3,3,39,4,5,<5,<5,<5,17,20,<10,3,<5,<10,<1,<2,<2,<0.5,<5,1.03,0.06,0.62,0.46,0.14,<0.01,0.24,0.02,44.49,0.04,6,121,<0.6,26.1,0.11,1.3,0.6,0.3,3.3,1.5,3.1,0.2,<0.2,<0.15,1.6,11.8,3.2,2.1,<0.5,0.2,22.7,<0.1,1,<1,0.6
323,24n-RGQ24-033,Rocas,524702,8718237,18,24-n,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Andesita gris oscura de tonalidad melanócrata y textura porfirítica con fenos de plagioclasas subhedrales. Las fracturas están tapizadas con epídota-clorita (Sistema 1: N280° y Sistema 2: N250°) y el Band Fluj tiene una dirección N20°/25°NW.,<0.027,<10,<0.5,615,6,3,74,61,18,<5,13,6,67,82,10,40,<5,<10,<1,<2,<2,<0.5,<5,5.05,0.34,2.54,1.69,0.6,0.02,1.57,0.04,35.71,0.24,39,621,1.7,162.8,0.19,10.8,4.4,3,17.1,13.5,15.7,1.7,<0.2,0.41,7.8,87.5,20.8,18,<0.5,1.9,4.3,0.5,0.9,<1,3.1
324,23m-RGQ24-020,Rocas,447910,8746831,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Zona alterada,<0.027,<10,<0.5,473,20,89,67,49,19,42,6,32,221,103,133,55,24,<10,<1,2,<2,0.8,<5,10.59,0.07,4.41,3.04,0.41,0.07,0.8,0.08,28.82,0.52,34,219,3.7,100.4,6.25,7,3.7,1.7,26,6.8,6,1.3,<0.2,0.49,17.1,44.1,12.2,8.4,1.4,1.1,18,0.5,5.7,8,3.4
325,23m-RGQ24-021,Rocas,447897,8746814,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V",Zona alterada,<0.027,<10,<0.5,<5,36,1579,21,<2,8,912,<5,5,<2,<2,33,53,74,<10,<1,<2,<2,<0.5,<5,1.48,<0.01,3.8,<0.01,17.39,0.02,<0.01,<0.01,25.76,0.02,<5,<5,<0.6,0.8,0.13,0.3,0.1,<0.1,4.5,0.2,<0.2,<0.1,<0.2,<0.15,<0.5,0.8,0.2,0.2,<0.5,<0.1,0.3,<0.1,<0.1,<1,0.1
326,23m-RGQ24-040,Rocas,467538,8770564,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Vetilla de cuarzo con oquedades de goethita y jarosita, de textura brechada reemplazamiento con halos de arcillas blancas. La roca caja es el sienogranito de color rojizo, tonalidad mesócrata y textura fanerítica, compuesto de feldespato K (65 %) subhedrales, plagioclasas (10 %) subhedrales y cuarzo (25 %) anhedral.",na,na,<0.5,189,2,3,3,458,19,<5,9,<5,699,2,<10,10,18,<10,<1,<2,<2,3,<5,13.2,<0.01,2.1,5.3,0.1,0.03,0.8,0.02,26.51,0.03,305,165,17,410.5,7.16,75.2,22.6,4.2,59.8,108.5,5.4,9.6,<0.2,2.07,75.9,381.4,113.9,112.1,6,15.3,74.9,2.6,27,4,15.8
327,23m-RGQ24-041,Rocas,467538,8770564,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III",Halos de arcillas blancas que engloba a las venillas de sílice y óxidos (muestreo selectivo). Roca caja sienogranito que presenta una alteración argílica moderada (N60°-65° / 65°-70°SE y ancho de 3 a 5 cm).,na,na,<0.5,157,<1,1,13,517,15,<5,<5,<5,680,13,<10,24,17,<10,<1,<2,<2,2.2,<5,13.67,<0.01,0.62,3.93,0.15,<0.01,0.06,0.02,26.61,0.02,398,145,13.2,103.2,12.28,67.5,29.5,3.1,57.8,83.9,6.2,10.7,<0.2,3.19,41.4,394.6,122.1,97,2.9,12,61,3.8,17.4,2,23.9
328,23m-RGQ24-042,Rocas,467534,8770552,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Vetilla de cuarzo con oquedades de goethita y jarosita, presenta textura brechada reemplazamiento con halos de arcillas blancas. la roca caja es el sienogranito color rojizo de tonalidad mesócrata y textura fanerítica, compuesta de feldespato K (65 %) subhedrales, plagioclasas (10 %) subhedrales y cuarzo (25 %) anhedral. La fracturas están tapizados de óxidos (N85° / 60°SE).",na,na,<0.5,229,4,2,28,176,51,<5,13,<5,660,19,<10,45,37,<10,<1,5,<2,3.9,9,9.55,0.01,3.83,4.06,0.18,0.07,0.04,0.02,30.36,0.05,190,305,13.6,369.5,12.77,25.9,14.8,0.9,48,24.5,10.8,4.7,<0.2,1.81,85.2,144.2,43.8,30.2,6.4,4,98.4,2.1,56.2,11,13.8
329,23m-RGQ24-043,Rocas,466879,8770626,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Sienogranito color rojizo de tonalidad mesócrata y textura granítica - inequigranular, cortado por venillas de sílice-goethita-hematita-jarosita con halos de arcillas blancas dispuesta en paralelo a subparalelo (N210° / 70°NW, N230°70°NW).",na,na,<0.5,293,<1,3,7,464,10,<5,14,<5,687,22,<10,54,16,<10,<1,<2,<2,3.3,8,11.25,0.01,2.31,5.45,0.26,0.02,0.45,<0.01,28.33,0.05,167,293,7.2,284.6,9.25,28.7,11.8,2.8,46.4,55.2,9.5,4.6,<0.2,1.42,65.2,362.7,106.9,80.5,4.7,6.3,50.3,1.6,9.7,8,10.6
330,23m-RGQ24-044,Rocas,466920,8770691,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Vetilla de cuarzo con oquedades de goethita-jarosita alojadas en el sienogranito color rojizo de tonalidad mesócrata y textura fanerítica, contiene feldespatos K (65 %) subhedrales, plagioclasas (10 %) subhedrales, cuarzo (25%) anhedral. Azimut N220° / Buzamiento 75°NW.",na,na,<0.5,234,1,1,3,920,8,<5,25,<5,923,19,<10,45,46,<10,<1,2,2,2.1,29,12.19,0.02,5.14,4.8,0.29,0.02,0.23,<0.01,25.51,0.07,365,381,7.4,132.2,12.72,70.2,28.3,8.2,59.6,142.9,11.2,11,<0.2,3.16,157.8,791.2,214.6,209.7,5.7,15.8,58.5,3.8,11.9,27,24
331,23m-RGQ24-045,Rocas,465526,8772366,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III",Venillas selectivas de cuarzo con halos de arcillas blancas alojadas en el sienogranito con alteración argílica .,na,na,<0.5,598,2,3,4,112,5,<5,24,<5,708,50,19,50,9,<10,<1,<2,<2,2.1,<5,14.12,0.12,1.48,2.71,0.16,0.02,1.15,0.01,25.24,0.05,123,404,26.3,153.9,6.01,17.1,11.2,1.1,56,17.3,15.6,3.5,<0.2,1.72,70.9,104.5,29,24.8,7,2.7,75.6,1.7,11.9,3,12.3
332,23n-RGQ24-001,Rocas,526065,8738638,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Diorita gris tonalidad melanócrata de textura equigranular con plagioclasas subhedrales, cuarzo y anfíboles anhedrales; fracturas rellenadas con goethita. Azimut N150° / Buzamiento 30°NE.",na,na,<0.5,679,37,342,42,66,23,83,16,26,78,411,140,191,<5,<10,<1,<2,<2,<0.5,<5,7.27,6.88,7.12,1.87,4.71,0.17,2.15,0.67,22.77,0.91,56,307,2,138.4,1.12,10.1,5.5,2.6,18.2,12,7.1,1.9,<0.2,0.73,15.7,67.5,17.6,14,3.3,1.7,7.4,0.7,2.7,<1,5
333,23n-RGQ24-002,Rocas,526067,8738635,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III",Selectivas venillas de cuarzo blanco masivo con óxidos dispuestos en forma paralela a subparalela. Azimut N60°-50° / Buzamiento 35°-40°NW y ancho de 0.03 m a 0.05 m.,na,na,<0.5,130,1,11,8,12,4,<5,66,<5,289,49,<10,39,<5,<10,<1,<2,<2,0.7,<5,7.57,0.45,0.63,4.3,0.15,0.03,2.64,0.01,34.63,0.03,113,81,15.1,31,2.77,12.7,10.6,0.4,39.6,7.1,7.2,2.8,<0.2,2.89,50.4,18.1,4.5,6.9,40,1.6,31,2.1,16.2,3,18
334,23n-RGQ24-003,Rocas,526625,8739031,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Contacto entre la diorita y el monzogranito gris blanquecino de textura fanerítica equigranular con contenidos de plagioclasas, feldespatos K y anfíbloes subhedrales con cuarzo anhedral. Fracturas tapizados de óxidos con Azimut N150° / Buzamiento 35°NE.",na,na,<0.5,1028,4,6,6,31,7,<5,21,<5,143,153,<10,14,<5,<10,<1,<2,<2,0.6,<5,7.08,0.48,0.98,4.5,0.15,0.02,2,0.02,34.42,0.12,30,159,1.2,64.9,0.6,5.5,3.2,0.9,19.8,5.1,5.5,1.1,<0.2,0.45,9.8,26.6,7.5,5.7,1,0.8,14,0.5,2.7,<1,3
335,23n-RGQ24-004,Rocas,527239,8739790,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Diorita gris tonalidad melanocrata txt fanerítica equigranular con plag subhedrales qz, anf biotitas anhedrales cortado por vlls qz bco con oxds.  frac rellenadas goe. Az N100°/45°SW..",na,na,<0.5,834,28,25,27,50,19,15,7,17,142,411,184,102,<5,<10,<1,<2,<2,0.5,<5,7.36,4.23,6.92,3.05,2.3,0.14,2.26,0.42,24.67,1.34,48,188,3.7,117.9,2.15,8.9,4.8,2.3,22.9,9.4,5.2,1.7,<0.2,0.66,28.6,54.4,14.6,11.7,2.3,1.5,7.5,0.7,2.3,1,4.7
336,23n-RGQ24-005,Rocas,527373,8740492,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Monzogranito color gris blanquecino, textura  equigranular, compuesta de feldespatos K (30 %), plagoclasas (40 %) subhedrales, cuarzo (30 %) y ferromagnesianos fuertemente oxidados anhedrales; con fuerte silicificación. Las fracturas están rellenadas con goethita. Azimut N335° / Buzamiento 35°NE.",na,na,<0.5,1212,15,18,6,69,46,15,12,13,146,118,64,54,<5,<10,<1,<2,<2,0.7,<5,7.24,0.32,4.34,4.04,1.55,0.07,1.55,0.09,30.23,0.47,80,578,2,209.2,2.81,14.4,8.5,1.9,23,14.6,15.8,2.8,<0.2,1.2,23.6,87.8,24.5,17.8,1.4,2.3,32.2,1.2,3.7,<1,8.2
337,23n-RGQ24-006,Rocas,527084,8740621,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Contacto entre la diorita y el sienogranito con presencia de xenolitos. El sienogranito es de color gris rojizo, tonalidad mesócrata y textura granítica - equigranular; compuesta de feldespatos K (55 %) subhedrales, plagioclasas (15 %), anfíboles subhedrales, cuarzo (30 %) anhedrales, fracturas rellenadas con pirita y trazas de calcopirita.",<0.027,47,<0.5,880,58,49,105,42,47,27,14,18,147,349,84,79,30,<10,<1,<2,<2,1.3,<5,7.49,1.96,6.24,2.5,2.55,0.1,2.24,0.07,26.96,0.35,25,265,1.7,120,2.34,5.5,2.6,1.7,21.9,7.1,7.4,1,<0.2,0.33,11.7,51.3,14.3,9.6,0.7,1,16.4,0.3,1.7,<1,2.3
338,23n-RGQ24-007,Rocas,526828,8741159,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III","Sienogranito color rojizo de tonalidad mesócrata y textura granítica - inequigranular, con feldesapatos K (60 %) subhedrales, plagioclasas (10 %) subhedrales, cuarzo (30 %) anhedral y xenomorfos de anfíboles y biotitas. Fracturas tapizadas con óxidos. Azimut N215° / Buzamiento 80°NW.",na,na,<0.5,335,10,3,6,107,20,<5,11,<5,153,75,12,31,<5,<10,<1,<2,<2,0.6,<5,9.94,0.44,3.01,4.11,0.43,0.04,2.94,0.03,28.22,0.37,87,1277,10.9,381.1,2.63,14.9,9.6,2.2,35.8,14.1,38.2,3.1,<0.2,1.56,77.1,102.1,32.4,18.3,8,2.3,112,1.5,18.6,2,10.5
339,23n-RGQ24-008,Rocas,527475,8741435,18,23-m,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,200-2024,INGEMMET,"I, IIa, IIb, III",Roca Ultrabásica (?) gris melanócrata de textura afanítica con diseminaciones de pirita fina anhedral y fracturas rellenadas con óxidos (Azimut N110°/ Buzamiento 30°SW).,na,na,<0.5,853,36,63,88,38,68,45,14,23,245,120,208,56,21,<10,<1,<2,<2,1.1,<5,7.55,0.61,8.24,4.27,1.12,0.06,0.79,0.13,27.29,1.22,39,290,2.2,97.7,7.47,8.3,4.4,2.4,25,8.4,7.5,1.5,<0.2,0.58,19.8,46.1,12.2,10.1,1.3,1.3,10.2,0.6,2.4,1,3.9
